	 Réf.	 Nom	Effet	Prix de vente
Anneau
	 5036028.	Anneau de Protection	Protection : Attaque Gluante	5000 GG'
	 8200153.	Anneau de Protection	Protection : Souffle de Feu	10000 GG'
Arme (1 main)
	 6411685.	Boulet et chaîne	ATT : -3 | DEG : +5	100 GG'
	 6145612.	Boulet et chaîne	ATT : -3 | DEG : +5	100 GG'
	 6138467.	Boulet et chaîne	ATT : -3 | DEG : +5	100 GG'
	 1446019.	Coutelas d'Obsidienne	ATT : +2 | DEG : +2 | REG : -2 | RM : -6 % | MM : -22 %	100 GG'
	 1434411.	Coutelas d'Obsidienne	ATT : +2 | DEG : +2 | REG : -2 | RM : -10 % | MM : -20 %	100 GG'
	 1657048.	Coutelas d'Obsidienne	ATT : +2 | DEG : +2 | REG : -2 | RM : -8 % | MM : -20 %	100 GG'
	 2792873.	Coutelas en os	DEG : +1	100 GG'
	 3112817.	Coutelas en os	DEG : +1	100 GG'
	 3439189.	Coutelas en os	DEG : +1	100 GG'
	 3229903.	Coutelas en os du Temps	DEG : +1 | TOUR : -30 min	3000 GG'
	 8654042.	Coutelas en Os du Rat	ESQ : +1 | DEG : +1	2000 GG'
	 1740251.	Crochet	ATT : -2 | DEG : +3	100 GG'
	 2403510.	Crochet	ATT : -2 | DEG : +3	100 GG'
	 1934345.	Dague	DEG : +1	100 GG'
	 1984013.	Dague	DEG : +1	100 GG'
	 1757665.	Epée Courte	DEG : +2	100 GG'
	 1890196.	Epée Courte	DEG : +2	100 GG'
	 2101304.	Epée Courte	DEG : +2	100 GG'
	 1649907.	Epée Courte des Tortues	DEG : +2 | TOUR : +30 min | Armure : +0\+2	2000 GG'
	 726189.	Epée Longue	ATT : -2 | DEG : +4	100 GG'
	 503833.	Epée Longue	ATT : -2 | DEG : +4	100 GG'
	 747181.	Epée Longue	ATT : -2 | DEG : +4	100 GG'
	 2611290.	Fouet	ATT : +4 | DEG : -2	100 GG'
	 4052849.	Fouet	ATT : +4 | DEG : -2	100 GG'
	 3926652.	Fouet	ATT : +4 | DEG : -2	100 GG'
	 6740517.	Gantelet	ATT : -2 | ESQ : +1 | DEG : +1 | Armure : +2	500 GG'
	 6363399.	Gantelet du Vent	ATT : -2 | ESQ : +2 | DEG : +1\-1 | Armure : +2	2000 GG'
	 2141993.	Gourdin	ATT : -1 | DEG : +2	100 GG'
	 1955815.	Gourdin	ATT : -1 | DEG : +2	100 GG'
	 4244473.	Gourdin clouté	ATT : -1 | DEG : +3	100 GG'
	 3610549.	Gourdin clouté	ATT : -1 | DEG : +3	100 GG'
	 532860.	Grosse racine	ATT : -1 | DEG : +3 | RM : +6 %	100 GG'
	 2541354.	Grosse racine	ATT : -1 | DEG : +3 | RM : +8 %	100 GG'
	 2766203.	Grosse racine	ATT : -1 | DEG : +3 | RM : +8 %	100 GG'
	 5045027.	Lame d'Obsidienne	ATT : +2 | DEG : +6 | REG : -3 | RM : -60 % | MM : -15 %	500 GG'
	 6229511.	Lame d'Obsidienne	ATT : +2 | DEG : +6 | REG : -3 | RM : -42 % | MM : -15 %	500 GG'
	 6283380.	Lame d'Obsidienne	ATT : +2 | DEG : +6 | REG : -3 | RM : -51 % | MM : -19 %	500 GG'
	 8023539.	Lame d'Obsidienne	ATT : +2 | DEG : +6 | REG : -3 | RM : -45 % | MM : -17 %	500 GG'
	 2024519.	Lame en os	DEG : +2	100 GG'
	 2516809.	Lame en os	DEG : +2	100 GG'
	 2447851.	Lame en os	DEG : +2	100 GG'
	 4426080.	Lame en pierre	ATT : -2 | DEG : +4	100 GG'
	 2646549.	Lame en pierre	ATT : -2 | DEG : +4	100 GG'
	 1917897.	Lame en pierre du Vent	ATT : -2 | ESQ : +1 | DEG : +4\-1	2000 GG'
	 5063900.	Lame en pierre	ATT : -2 | DEG : +4	100 GG'
	 1788530.	Machette des Tortues	ATT : +1 | ESQ : -1 | DEG : +2 | TOUR : +30 min | Armure : +0\+2	2000 GG'
	 1570890.	Machette	ATT : +1 | ESQ : -1 | DEG : +2	100 GG'
	 2040651.	Machette	ATT : +1 | ESQ : -1 | DEG : +2	100 GG'
	 1276256.	Masse d'Arme	ATT : -1 | DEG : +3	100 GG'
	 904721.	Masse d'Arme	ATT : -1 | DEG : +3	100 GG'
	 1039429.	Masse d'Arme	ATT : -1 | DEG : +3	100 GG'
